Uniq_id,Username,Score,Review
b6c0b6bea69c722939585baeac73c13d,fsdv4141,2,You never have to worry about the fit...Alfred Dunner clothing sizes are true to size and fits perfectly. Great value for the money.
b6c0b6bea69c722939585baeac73c13d,krpz1113,1,Good quality fabric. Perfect fit. Washed very well no iron.
b6c0b6bea69c722939585baeac73c13d,mbmg3241,2,"I do not normally wear pants or capris that have an elastic waist, but I decided to try these since they were on sale and I loved the color. I was very surprised at how comfortable they are and wear really well even wearing all day. I will buy this style again!"
b6c0b6bea69c722939585baeac73c13d,zeqg1222,0,I love these capris! They fit true to size and are so comfortable to wear. I am planning to order more of them.
b6c0b6bea69c722939585baeac73c13d,nvfn3212,3,This product is very comfortable and the fabric launders very well
b6c0b6bea69c722939585baeac73c13d,aajh3423,2,"I did not like the fabric. It is 100% polyester I thought it was different.I bought one at the store apprx two monts ago, and I thought it was just like it"
b6c0b6bea69c722939585baeac73c13d,usvp2142,1,What a great deal. Beautiful Pants. Its more than I expected.
b6c0b6bea69c722939585baeac73c13d,yemw3321,1,"Alfred Dunner has great pants, good fit and very comfortable"
93e5272c51d8cce02597e3ce67b7ad0a,tpcu2211,3,You never have to worry about the fit...Alfred Dunner clothing sizes are true to size and fits perfectly. Great value for the money.
93e5272c51d8cce02597e3ce67b7ad0a,vutl2421,2,Good quality fabric. Perfect fit. Washed very well no iron.
93e5272c51d8cce02597e3ce67b7ad0a,ixlo1324,0,"I do not normally wear pants or capris that have an elastic waist, but I decided to try these since they were on sale and I loved the color. I was very surprised at how comfortable they are and wear really well even wearing all day. I will buy this style again!"
93e5272c51d8cce02597e3ce67b7ad0a,dued2313,2,I love these capris! They fit true to size and are so comfortable to wear. I am planning to order more of them.
93e5272c51d8cce02597e3ce67b7ad0a,nkmn4113,1,This product is very comfortable and the fabric launders very well
93e5272c51d8cce02597e3ce67b7ad0a,tyfr4414,4,"I did not like the fabric. It is 100% polyester I thought it was different.I bought one at the store apprx two monts ago, and I thought it was just like it"
93e5272c51d8cce02597e3ce67b7ad0a,hyhy1222,3,What a great deal. Beautiful Pants. Its more than I expected.
93e5272c51d8cce02597e3ce67b7ad0a,oofb2342,4,"Alfred Dunner has great pants, good fit and very comfortable"
013e320f2f2ec0cf5b3ff5418d688528,pcfg3234,2,You never have to worry about the fit...Alfred Dunner clothing sizes are true to size and fits perfectly. Great value for the money.
013e320f2f2ec0cf5b3ff5418d688528,yark3323,2,Good quality fabric. Perfect fit. Washed very well no iron.
013e320f2f2ec0cf5b3ff5418d688528,vbii4342,1,"I do not normally wear pants or capris that have an elastic waist, but I decided to try these since they were on sale and I loved the color. I was very surprised at how comfortable they are and wear really well even wearing all day. I will buy this style again!"
013e320f2f2ec0cf5b3ff5418d688528,yegt2433,1,I love these capris! They fit true to size and are so comfortable to wear. I am planning to order more of them.
013e320f2f2ec0cf5b3ff5418d688528,zqga3121,2,This product is very comfortable and the fabric launders very well
013e320f2f2ec0cf5b3ff5418d688528,poql1141,1,"I did not like the fabric. It is 100% polyester I thought it was different.I bought one at the store apprx two monts ago, and I thought it was just like it"
013e320f2f2ec0cf5b3ff5418d688528,zvyd3312,2,What a great deal. Beautiful Pants. Its more than I expected.
013e320f2f2ec0cf5b3ff5418d688528,iukw3244,3,"Alfred Dunner has great pants, good fit and very comfortable"
505e6633d81f2cb7400c0cfa0394c427,ngrq4411,0,You never have to worry about the fit...Alfred Dunner clothing sizes are true to size and fits perfectly. Great value for the money.
505e6633d81f2cb7400c0cfa0394c427,skxh1444,1,Good quality fabric. Perfect fit. Washed very well no iron.
505e6633d81f2cb7400c0cfa0394c427,tdda1422,0,"I do not normally wear pants or capris that have an elastic waist, but I decided to try these since they were on sale and I loved the color. I was very surprised at how comfortable they are and wear really well even wearing all day. I will buy this style again!"
505e6633d81f2cb7400c0cfa0394c427,mnik3114,2,I love these capris! They fit true to size and are so comfortable to wear. I am planning to order more of them.
505e6633d81f2cb7400c0cfa0394c427,smlz4311,0,This product is very comfortable and the fabric launders very well
505e6633d81f2cb7400c0cfa0394c427,bjja4413,0,"I did not like the fabric. It is 100% polyester I thought it was different.I bought one at the store apprx two monts ago, and I thought it was just like it"
505e6633d81f2cb7400c0cfa0394c427,kmtt3322,2,What a great deal. Beautiful Pants. Its more than I expected.
505e6633d81f2cb7400c0cfa0394c427,iltp2232,4,"Alfred Dunner has great pants, good fit and very comfortable"
d969a8542122e1331e304b09f81a83f6,nbmi2334,3,You never have to worry about the fit...Alfred Dunner clothing sizes are true to size and fits perfectly. Great value for the money.
d969a8542122e1331e304b09f81a83f6,nfjd4421,2,Good quality fabric. Perfect fit. Washed very well no iron.
d969a8542122e1331e304b09f81a83f6,cdje1243,1,"I do not normally wear pants or capris that have an elastic waist, but I decided to try these since they were on sale and I loved the color. I was very surprised at how comfortable they are and wear really well even wearing all day. I will buy this style again!"
d969a8542122e1331e304b09f81a83f6,otgt4421,3,I love these capris! They fit true to size and are so comfortable to wear. I am planning to order more of them.
d969a8542122e1331e304b09f81a83f6,vvkk4241,3,This product is very comfortable and the fabric launders very well
d969a8542122e1331e304b09f81a83f6,nqqs2313,1,"I did not like the fabric. It is 100% polyester I thought it was different.I bought one at the store apprx two monts ago, and I thought it was just like it"
d969a8542122e1331e304b09f81a83f6,lwqz3224,3,What a great deal. Beautiful Pants. Its more than I expected.
d969a8542122e1331e304b09f81a83f6,ifqm1323,1,"Alfred Dunner has great pants, good fit and very comfortable"
cf73bb2bd93bbd6e1bdf48d399992270,mewj3321,3,You never have to worry about the fit...Alfred Dunner clothing sizes are true to size and fits perfectly. Great value for the money.
cf73bb2bd93bbd6e1bdf48d399992270,fjsw2311,2,Good quality fabric. Perfect fit. Washed very well no iron.
cf73bb2bd93bbd6e1bdf48d399992270,iyuy3411,0,"I do not normally wear pants or capris that have an elastic waist, but I decided to try these since they were on sale and I loved the color. I was very surprised at how comfortable they are and wear really well even wearing all day. I will buy this style again!"
cf73bb2bd93bbd6e1bdf48d399992270,wyyw4323,3,I love these capris! They fit true to size and are so comfortable to wear. I am planning to order more of them.
cf73bb2bd93bbd6e1bdf48d399992270,ruhr3323,2,This product is very comfortable and the fabric launders very well
cf73bb2bd93bbd6e1bdf48d399992270,rzov3414,1,"I did not like the fabric. It is 100% polyester I thought it was different.I bought one at the store apprx two monts ago, and I thought it was just like it"
cf73bb2bd93bbd6e1bdf48d399992270,rnec1332,1,What a great deal. Beautiful Pants. Its more than I expected.
cf73bb2bd93bbd6e1bdf48d399992270,cisr2144,4,"Alfred Dunner has great pants, good fit and very comfortable"
8ffd0ef4fcaf1a82fb514aba5d20e05b,glvx4212,2,"I loved the quality and price but it seems Alfred Dunner tops runwide, I ordered a small and it was too big and normally a smallor medium would fit me."
8ffd0ef4fcaf1a82fb514aba5d20e05b,nyek2141,1,"After months of shopping and looking for something that you dont need to wear layers such as you would wear with a see through top, I finally found a top that is soft, not revealing, colorful, and comfortable. The price is more then I would have liked to spend but I feel that one top that meets my requirements as compared to 6 tops that I dont feel good about makes all the difference. I finally found a clothing line that is geared toward middle age instead of young girls."
8ffd0ef4fcaf1a82fb514aba5d20e05b,fxat4311,0,"This style of Alfred Dunner tops is always comfortable to wear whether it is a cotton type like this one, or a polyester top to wear as business casual to work."
8ffd0ef4fcaf1a82fb514aba5d20e05b,ocfu4332,4,Very good quality! Love the fabric! Easy care! Size is accurate!
4d9337e3c8f974d3c420cdc5c58b3fc3,vivj4111,3,"The colors and quality of the fabric were fine, I just didnt care for the loose cut leaves around the front of the neckline, wish they had omitted that in the design. Returned it."
44f8f8f108c6856acf9630dd1d78516d,neqb2223,0,I love the way these capri pants look and feel. The material is very nice.
44f8f8f108c6856acf9630dd1d78516d,kfgb3321,1,This flattering blouse was a hit when I wore it to a recent event..... MANY compliments on the colors and style. Would like to see this offered in other combinations!
8d1d057f5f808c10ce243c222ab0ef6e,tyfr4414,2,I love the way these capri pants look and feel. The material is very nice.
8d1d057f5f808c10ce243c222ab0ef6e,upbt3134,2,This flattering blouse was a hit when I wore it to a recent event..... MANY compliments on the colors and style. Would like to see this offered in other combinations!
f3e02c48f16b56e8c1f126c8fe762812,jigo2232,0,I love the way these capri pants look and feel. The material is very nice.
f3e02c48f16b56e8c1f126c8fe762812,psmw1224,2,This flattering blouse was a hit when I wore it to a recent event..... MANY compliments on the colors and style. Would like to see this offered in other combinations!
5abf9d28e9e0404369ece10807d99d0e,gbir2423,0,"These capris are very comfortable, with just the right amount of spandex for stretch. I love the cute cuff on the bottom. I bought these for vacation to go with the Lime Green Sao Paolo top. Look very cute, and dressier than just a tee and jeans.Love me some Dunner !"
5abf9d28e9e0404369ece10807d99d0e,nejh1321,0,Comfortable and lightweight material for summer wear. Love the button accent.
5abf9d28e9e0404369ece10807d99d0e,bgkj4122,5,I was disappointed in the quality upon closer inspection at home.
5abf9d28e9e0404369ece10807d99d0e,jdwh3411,4,I love Alfred Dunner pants and capris. These have more room in the hip and thigh area than other brands. I can wear a size 10 instead of a 12 because of this.
5abf9d28e9e0404369ece10807d99d0e,xzjf1423,0,These Capris are so comfortable and fit great on me as I am a plus size. They are also nice enough to wear at my office.
82d8a9a627e55ba97a1051068c9823e7,yrzj4331,3,"These capris are very comfortable, with just the right amount of spandex for stretch. I love the cute cuff on the bottom. I bought these for vacation to go with the Lime Green Sao Paolo top. Look very cute, and dressier than just a tee and jeans.Love me some Dunner !"
