Username,DOB,State
bkpn1412,31.07.1983,Oregon
gqjs4414,27.07.1998,Massachusetts
eehe1434,08.08.1950,Idaho
hkxj1334,03.08.1969,Florida
jjbd1412,26.07.2001,Georgia
rriz2231,08.08.1951,Montana
dvmv4241,02.08.1975,Pennsylvania
ibtk1124,31.07.1983,Connecticut
ryqz4413,28.07.1992,Arkansas
ezng1232,03.08.1968,Nebraska
asfi3222,01.08.1977,California
vsqn3242,29.07.1991,New Hampshire
rjwh2331,31.07.1980,District of Columbia
xnrh1144,27.07.1998,Washington
vszn3331,03.08.1968,District of Columbia
opkh3224,26.07.2000,Minnesota
iwfu4341,30.07.1987,Georgia
shqp1322,06.08.1957,New Mexico
pnsk3434,06.08.1959,Virginia
ccyk1442,08.08.1951,New Mexico
zsqb4143,28.07.1993,Kansas
sdap1334,04.08.1966,Virginia
mzia1422,29.07.1988,Illinois
bbxx1333,30.07.1986,North Dakota
yoep4321,08.08.1951,Florida
wiuo2422,29.07.1990,Colorado
iunn4334,03.08.1969,Georgia
himm4134,05.08.1962,Georgia
lrrr1442,30.07.1986,New York
wjfh4432,27.07.1997,Minor Outlying Islands
vqdo1222,27.07.1997,Northern Mariana Islands
frxs1144,29.07.1990,Minnesota
zany1241,07.08.1952,West Virginia
hflm2333,26.07.2000,Texas
rapj1442,04.08.1964,South Dakota
rrbl2243,06.08.1959,Maryland
qiop1314,28.07.1993,New Hampshire
gvzo4221,27.07.1998,Maine
zqpo2424,05.08.1962,Ohio
wnyh1112,05.08.1962,Pennsylvania
yphp2331,29.07.1991,Rhode Island
rmoj4134,07.08.1954,New Hampshire
mowz2423,27.07.1998,North Dakota
zjfr4422,06.08.1959,Michigan
apqx2224,08.08.1951,Arkansas
cmgi1424,05.08.1960,Connecticut
cbvz3433,29.07.1991,Alaska
fzra3344,31.07.1982,Alaska
drcq1432,07.08.1953,Iowa
rcdn3444,04.08.1965,Oklahoma
kxex1114,05.08.1961,New York
uvxh4242,02.08.1974,Mississippi
wctx1313,04.08.1967,New York
gmgb4211,30.07.1986,Georgia
sbpz1231,05.08.1962,Maryland
rmbq4323,07.08.1953,West Virginia
sopv2131,04.08.1966,Virginia
pdwq4223,07.08.1952,New York
aqjv4114,04.08.1964,South Carolina
fpxp1232,03.08.1969,Texas
rxsi1244,08.08.1951,Missouri
zsej1424,31.07.1982,Oklahoma
osyb4343,01.08.1979,New Jersey
ipjm1333,30.07.1986,Tennessee
fnwx2131,27.07.1996,North Carolina
nuqk3312,28.07.1992,Tennessee
yopo3444,01.08.1979,Mississippi
porx4323,08.08.1950,Massachusetts
yonw1133,30.07.1987,Florida
yrrf4134,31.07.1980,Virginia
lifs4424,05.08.1960,Guam
eoux4324,26.07.2000,Pennsylvania
pebz4344,02.08.1974,Wyoming
nqsx1333,03.08.1969,Wyoming
iokm2132,26.07.2001,California
kjsk3443,30.07.1985,Delaware
