category,total_revenue,avg_price,total_reviews,product_count
,826714.37372,182.1517341864139,3252,636
sale,261048.32451,137.74864106382978,1665,343
view all brands,180567.1784,97.01314468085107,1584,285
ENERGY STAR certified,160311.16,1396.2766666666666,111,12
lg,115935.55000000002,1690.1281818181817,87,11
samsung,100477.83,1309.17875,77,8
view all,82537.75529,47.63954967123288,1890,376
ge,76946.76,955.731,81,10
refrigerators,64422.78,1725.2175,38,4
search-results,56070.37822,270.07242705882356,251,68
