name_title,brand,category,average_product_rating,total_number_reviews,product_image_urls
a.n.a Faux Fur-Collar Metallic Moto Jacket- Petites,A.N.A,view all,1.0,5,"http://s7d2.scene7.com/is/image/JCPenney/DP1021201517040706M.tif?wid=65&hei=65&fmt=jpg&op_usm=.4,.8,0,0&resmode=sharp2| http://s7d2.scene7.com/is/image/JCPenney/DP1110201517014119M.tif?wid=65&hei=65&fmt=jpg&op_usm=.4,.8,0,0&resmode=sharp2"
Okie Dokie® Print Leggings - Toddler Girls 2t-5t,Okie Dokie,girl's pants,1.4285714286,7,"http://s7d2.scene7.com/is/image/JCPenney/DP0702201517030448M.tif?wid=65&hei=65&fmt=jpg&op_usm=.4,.8,0,0&resmode=sharp2| http://s7d2.scene7.com/is/image/JCPenney/DP0702201517030447M.tif?wid=65&hei=65&fmt=jpg&op_usm=.4,.8,0,0&resmode=sharp2| http://s7d2.scene7.com/is/image/JCPenney/DP0702201517030453M.tif?wid=65&hei=65&fmt=jpg&op_usm=.4,.8,0,0&resmode=sharp2| http://s7d2.scene7.com/is/image/JCPenney/DP0702201517030443M.tif?wid=65&hei=65&fmt=jpg&op_usm=.4,.8,0,0&resmode=sharp2| http://s7d2.scene7.com/is/image/JCPenney/DP0702201517030451M.tif?wid=65&hei=65&fmt=jpg&op_usm=.4,.8,0,0&resmode=sharp2"
"Liz Claiborne® Long-Sleeve Swing Printed Jacket, Short-Sleeve Sweater or Ankle Pants",LIZ CLAIBORNE,outfits you'll love,1.5,8,
Dickies® Relaxed-Fit Workwear Jeans–Big & Tall,Dickies,jeans,1.5,8,"http://s7d2.scene7.com/is/image/JCPenney/DP0909201417143674M.tif?wid=65&hei=65&fmt=jpg&op_usm=.4,.8,0,0&resmode=sharp2| http://s7d2.scene7.com/is/image/JCPenney/DP0909201417143574M.tif?wid=65&hei=65&fmt=jpg&op_usm=.4,.8,0,0&resmode=sharp2| http://s7d2.scene7.com/is/image/JCPenney/DP0909201417143624M.tif?wid=65&hei=65&fmt=jpg&op_usm=.4,.8,0,0&resmode=sharp2|/dotcom/images/playbutton.svg|http://brightcove.vo.llnwd.net/e1/pd/1232842441001/1232842441001_2491128053001_th-51c1d649e4b07dc23499a7f4-1592194015001.jpg?pubId=1232842441001"
St. John's Bay® Secretly Slender Bootcut Jeans,St. John's Bay,view all,1.5,8,"http://s7d9.scene7.com/is/image/JCPenney/DP0303201620450126C.tif?hei=380&amp;wid=380&op_usm=.4,.8,0,0&resmode=sharp2&op_usm=1.5,.8,0,0&resmode=sharp"
A2 by Aerosoles® Wipline Thong Sandals,A2 BY AEROSOLES,comfort sandals,1.5,6,"http://s7d2.scene7.com/is/image/JCPenney/DP1120201317022993M.tif?wid=65&hei=65&fmt=jpg&op_usm=.4,.8,0,0&resmode=sharp2| http://s7d2.scene7.com/is/image/JCPenney/DP1120201317023043M.tif?wid=65&hei=65&fmt=jpg&op_usm=.4,.8,0,0&resmode=sharp2| http://s7d2.scene7.com/is/image/JCPenney/DP1120201317023094M.tif?wid=65&hei=65&fmt=jpg&op_usm=.4,.8,0,0&resmode=sharp2| http://s7d2.scene7.com/is/image/JCPenney/DP1120201317023150M.tif?wid=65&hei=65&fmt=jpg&op_usm=.4,.8,0,0&resmode=sharp2| http://s7d2.scene7.com/is/image/JCPenney/DP0308201620464125C.tif?wid=65&hei=65&fmt=jpg&op_usm=.4,.8,0,0&resmode=sharp2"
Royal Velvet® Plaza Window Treatments,ROYAL VELVET,window treatments,1.5,8,"http://s7d9.scene7.com/is/image/JCPenney/DP0702201517032479M.tif?hei=380&amp;wid=380&op_usm=.4,.8,0,0&resmode=sharp2&op_usm=1.5,.8,0,0&resmode=sharp"
Xersion™ Go Swiftly Vest - Plus,Xersion,,1.6,5,"http://s7d9.scene7.com/is/image/JCPenney/DP0127201617032725M.tif?hei=380&amp;wid=380&op_usm=.4,.8,0,0&resmode=sharp2&op_usm=1.5,.8,0,0&resmode=sharp"
Tough Duck™ Avaiator Hat,Tough Duck,coats & jackets,1.6,5,"http://s7d2.scene7.com/is/image/JCPenney/DP1008201417044744M.tif?wid=65&hei=65&fmt=jpg&op_usm=.4,.8,0,0&resmode=sharp2"
Panama Jack® Toyo Safari Hat,PANAMA JACK,gifts under $25,1.6,5,"http://s7d2.scene7.com/is/image/JCPenney/DP0806201317115171M.tif?wid=65&hei=65&fmt=jpg&op_usm=.4,.8,0,0&resmode=sharp2"
