brand,avg_rating,total_reviews,product_count
Nicole By Nicole Miller,4.333333333333333,9,3
Nordicware,3.9166666666666665,20,3
INK + IVY,3.6666666666666665,12,3
Vans,3.6666666666666665,15,3
Colonial Mills,3.5823809523800003,22,5
FRANK AND LULU,3.515625,46,8
RELIC,3.5111111111333333,20,3
Propet,3.4895833333375,34,8
BEYOND DOWN,3.4666666666799997,15,5
PHYTO,3.4583333333333335,24,3
TFW,3.4499999999999997,20,3
Mr. Coffee,3.4499999999999997,23,3
JOURNEE COLLECTION,3.4406746031666664,35,6
Chef Designs,3.4375,19,4
Rosetti,3.425,32,5
