name_title,brand,category,average_product_rating,total_number_reviews,product_image_urls
Alfred Dunner® Feels Like Spring Capris,Alfred Dunner,capris & crops,4.8,5,"http://s7d9.scene7.com/is/image/JCPenney/DP0226201617031154M.tif?hei=380&amp;wid=380&op_usm=.4,.8,0,0&resmode=sharp2&op_usm=1.5,.8,0,0&resmode=sharp"
Michael Antonio Tipton T-Strap Pumps,MICHAEL ANTONIO,larger sizes,4.6,5,"http://s7d2.scene7.com/is/image/JCPenney/DP0216201517022857M.tif?wid=65&hei=65&fmt=jpg&op_usm=.4,.8,0,0&resmode=sharp2| http://s7d2.scene7.com/is/image/JCPenney/DP0216201517022859M.tif?wid=65&hei=65&fmt=jpg&op_usm=.4,.8,0,0&resmode=sharp2| http://s7d2.scene7.com/is/image/JCPenney/DP0216201517022860M.tif?wid=65&hei=65&fmt=jpg&op_usm=.4,.8,0,0&resmode=sharp2| http://s7d2.scene7.com/is/image/JCPenney/DP0217201517020810M.tif?wid=65&hei=65&fmt=jpg&op_usm=.4,.8,0,0&resmode=sharp2"
City Triangles® Tank Top and All-Over Lace Full Skirt Two Piece,City Triangle,graduation dresses,4.6,5,"http://s7d9.scene7.com/is/image/JCPenney/DP1217201517114373M.tif?hei=380&amp;wid=380&op_usm=.4,.8,0,0&resmode=sharp2&op_usm=1.5,.8,0,0&resmode=sharp"
a.n.a® Sash-Front Wide-Leg Pants,A.N.A,soft pants,4.6,5,"http://s7d9.scene7.com/is/image/JCPenney/DP0316201617062375M.tif?hei=380&amp;wid=380&op_usm=.4,.8,0,0&resmode=sharp2&op_usm=1.5,.8,0,0&resmode=sharp"
Arizona Pushup Bandeau Swim Top or Hipster Swim Bottoms - Juniors,ARIZONA,arizona,4.5,6,"http://s7d9.scene7.com/is/image/JCPenney/DP0114201617061895M.tif?hei=380&amp;wid=380&op_usm=.4,.8,0,0&resmode=sharp2&op_usm=1.5,.8,0,0&resmode=sharp"
"Arizona Corduroy Pants - Boys 8-20, Slim and Husky",ARIZONA,pants,4.5,6,"http://s7d9.scene7.com/is/image/JCPenney/DP0716201517025984M.tif?hei=380&amp;wid=380&op_usm=.4,.8,0,0&resmode=sharp2&op_usm=1.5,.8,0,0&resmode=sharp"
Stylus™ Woven Ombré Maxi Skirt,STYLUS,view all petite,4.5,8,"http://s7d2.scene7.com/is/image/JCPenney/DP0413201517025180M.tif?wid=65&hei=65&fmt=jpg&op_usm=.4,.8,0,0&resmode=sharp2| http://s7d2.scene7.com/is/image/JCPenney/DP0413201517025183M.tif?wid=65&hei=65&fmt=jpg&op_usm=.4,.8,0,0&resmode=sharp2| http://s7d2.scene7.com/is/image/JCPenney/DP0413201517025184M.tif?wid=65&hei=65&fmt=jpg&op_usm=.4,.8,0,0&resmode=sharp2"
Colonial Mills® Ashburn Reversible Braided Oval Rug,Colonial Mills,patio & outdoor living,4.4285714286,7,"http://s7d2.scene7.com/is/image/JCPenney/DP1016201317240528M.tif?wid=65&hei=65&fmt=jpg&op_usm=.4,.8,0,0&resmode=sharp2| http://s7d2.scene7.com/is/image/JCPenney/DP1016201317235928M.tif?wid=65&hei=65&fmt=jpg&op_usm=.4,.8,0,0&resmode=sharp2|/dotcom/images/playbutton.svg|http://brightcove.vo.llnwd.net/e1/pd/1232842441001/1232842441001_4122200873001_4122178469001-th.jpg?pubId=1232842441001|/dotcom/images/playbutton.svg|http://brightcove.vo.llnwd.net/e1/pd/1232842441001/1232842441001_4565945992001_4565847788001-th.jpg?pubId=1232842441001"
French Toast® Flat-Front Pants - Preschool Girls 4-6x and Slim,French Toast,girls 4-6x,4.4,5,"http://s7d2.scene7.com/is/image/JCPenney/DP0711201404485582M.tif?wid=65&hei=65&fmt=jpg&op_usm=.4,.8,0,0&resmode=sharp2"
Arizona Piqué Polo,ARIZONA,polos,4.4,5,"http://s7d9.scene7.com/is/image/JCPenney/DP1110201517012535M.tif?hei=380&amp;wid=380&op_usm=.4,.8,0,0&resmode=sharp2&op_usm=1.5,.8,0,0&resmode=sharp"
