category,sentiment,count
,Negative,1301
,Neutral,662
,Positive,1289
$20-$30 boots,Negative,5
$20-$30 boots,Neutral,2
$20-$30 boots,Positive,1
$24.99 dresses,Negative,1
$24.99 dresses,Positive,1
$25 and under,Negative,15
$25 and under,Neutral,6
$25 and under,Positive,11
$30 & under,Negative,7
$30 & under,Neutral,3
$30 & under,Positive,4
$30-$50 handbags & wallets,Negative,2
$30-$50 handbags & wallets,Neutral,1
$30-$50 handbags & wallets,Positive,1
$40-$50 boots,Negative,2
$50 and over boots,Negative,8
$50 and over boots,Neutral,6
$50 and over boots,Positive,10
$50 and under,Negative,13
$50 and under,Neutral,6
$50 and under,Positive,10
$9.99 select items,Negative,4
$9.99 select items,Neutral,1
$9.99 select items,Positive,3
2-day deals,Negative,12
2-day deals,Neutral,8
2-day deals,Positive,11
3-stone rings,Neutral,1
ENERGY STAR certified,Negative,37
ENERGY STAR certified,Neutral,17
ENERGY STAR certified,Positive,57
EXPLORE THE CATALOG,Negative,17
EXPLORE THE CATALOG,Neutral,8
EXPLORE THE CATALOG,Positive,15
HIDDEN CATEGORIES,Negative,59
HIDDEN CATEGORIES,Neutral,26
HIDDEN CATEGORIES,Positive,50
My Little Pony,Positive,1
"Stafford belts, suspenders, & wallets",Negative,4
"Stafford belts, suspenders, & wallets",Positive,4
"Stafford pajamas, robes, & slippers",Negative,8
"Stafford pajamas, robes, & slippers",Neutral,4
"Stafford pajamas, robes, & slippers",Positive,9
Stafford pants,Negative,12
Stafford pants,Neutral,5
Stafford pants,Positive,7
Stafford shirts,Negative,1
Stafford shirts,Positive,4
Stafford socks & underwear,Negative,4
Stafford socks & underwear,Neutral,2
Stafford socks & underwear,Positive,2
Stafford suits & sportcoats,Negative,12
Stafford suits & sportcoats,Neutral,6
Stafford suits & sportcoats,Positive,20
Stafford ties & accessories,Negative,4
Stafford ties & accessories,Positive,5
Star Wars,Negative,2
Star Wars,Positive,4
a.n.a,Negative,41
a.n.a,Neutral,16
a.n.a,Positive,49
a.n.a.,Negative,13
a.n.a.,Neutral,9
a.n.a.,Positive,6
accent furniture,Negative,10
accent furniture,Neutral,3
accent furniture,Positive,3
accent pillows,Negative,2
accent pillows,Positive,1
accessories,Negative,15
accessories,Neutral,7
accessories,Positive,10
active,Negative,24
active,Neutral,12
active,Positive,21
active jackets,Negative,5
active jackets,Neutral,1
active jackets,Positive,8
activewear,Negative,75
activewear,Neutral,32
activewear,Positive,67
add your items,Negative,5
add your items,Neutral,1
adidas,Neutral,2
adidas,Positive,1
adidas climacool apparel,Negative,5
adidas climacool apparel,Neutral,4
adidas climacool apparel,Positive,9
adidas joggers,Negative,5
adidas joggers,Neutral,1
adidas joggers,Positive,2
akademiks,Negative,1
akademiks,Neutral,1
alfred dunner,Negative,20
alfred dunner,Neutral,15
alfred dunner,Positive,24
all athletic shoes,Negative,11
all athletic shoes,Neutral,3
all athletic shoes,Positive,6
all boots,Negative,3
all boots,Neutral,1
all boots,Positive,3
all brands,Negative,134
all brands,Neutral,37
all brands,Positive,101
all christmas decor,Negative,1
all comfort shoes,Negative,12
all comfort shoes,Neutral,5
all comfort shoes,Positive,20
all dress shoes,Negative,14
all dress shoes,Neutral,7
all dress shoes,Positive,6
all extended sizes,Negative,29
all extended sizes,Neutral,14
all extended sizes,Positive,22
all fashion jewelry,Negative,1
all fashion jewelry,Positive,1
all fine jewelry,Negative,1
all fine jewelry,Positive,1
all guys pants,Negative,10
all guys pants,Neutral,4
all guys pants,Positive,10
all juniors shoes,Negative,12
all juniors shoes,Neutral,9
all juniors shoes,Positive,8
all kids shoes,Negative,1
all kids shoes,Neutral,1
all kids shoes,Positive,2
all men's shoes,Negative,10
all men's shoes,Neutral,9
all men's shoes,Positive,11
all modern bride,Negative,1
all modern bride,Neutral,4
all modern bride,Positive,5
all sandals & flip flops,Negative,14
all sandals & flip flops,Neutral,7
all sandals & flip flops,Positive,14
all sneakers,Negative,19
all sneakers,Neutral,9
all sneakers,Positive,16
all watches,Negative,2
all watches,Neutral,2
all watches,Positive,3
all women's shoes,Negative,4
all women's shoes,Neutral,6
all women's shoes,Positive,4
all work shoes,Neutral,1
all work shoes,Positive,2
alyx,Negative,3
alyx,Neutral,2
ambrielle,Negative,6
ambrielle,Positive,5
animals & critters,Negative,1
ankle boots & booties,Negative,7
ankle boots & booties,Neutral,5
ankle boots & booties,Positive,6
"ankle, crops & capris",Negative,9
"ankle, crops & capris",Neutral,9
"ankle, crops & capris",Positive,14
appliance packages,Neutral,1
appliance packages,Positive,2
aprons & kitchen towels,Negative,1
aprons & kitchen towels,Neutral,1
aprons & kitchen towels,Positive,4
area rugs,Negative,8
area rugs,Neutral,4
area rugs,Positive,9
aris by treska,Negative,1
aris by treska,Positive,2
arizona,Negative,57
arizona,Neutral,33
arizona,Positive,55
armitron,Negative,1
arts & crafts,Positive,2
assets red hot label by spanx,Negative,7
assets red hot label by spanx,Neutral,3
assets red hot label by spanx,Positive,6
athleisure,Negative,3
athleisure,Neutral,2
athleisure,Positive,3
athletic,Negative,9
athletic,Neutral,3
athletic,Positive,10
athletic clothes,Negative,3
athletic clothes,Neutral,1
athletic clothes,Positive,1
athletic jogger pants,Negative,6
athletic jogger pants,Neutral,1
athletic jogger pants,Positive,1
athletic sandals,Negative,3
athletic sandals,Positive,6
athletic shirts,Negative,8
athletic shirts,Neutral,2
athletic shirts,Positive,11
athletic shoes,Negative,36
athletic shoes,Neutral,23
athletic shoes,Positive,63
athletic shorts,Negative,2
athletic shorts,Neutral,1
azul,Negative,24
azul,Neutral,14
azul,Positive,20
baby,Positive,1
baby & toddler clothing,Neutral,1
baby & toddler clothing,Positive,1
baby bedding,Negative,1
baby boy clothes 0-24 months,Negative,2
baby boy clothes 0-24 months,Neutral,1
baby boy clothes 0-24 months,Positive,5
baby essentials,Negative,8
baby essentials,Neutral,6
baby essentials,Positive,16
baby furniture,Negative,13
baby furniture,Neutral,6
baby furniture,Positive,9
baby gifts,Negative,4
baby gifts,Neutral,1
baby gifts,Positive,7
baby girl 0-24 months,Negative,1
baby girl clothes 0-24 months,Negative,1
baby girl clothes 0-24 months,Neutral,2
baby girl clothes 0-24 months,Positive,1
baby monitors,Negative,1
baby monitors,Positive,1
baby shower,Neutral,2
baby's coats & jackets,Neutral,1
baby's coats & jackets,Positive,1
baby's shorts,Negative,3
baby's shorts,Neutral,2
baby's shorts,Positive,5
baby's sleepwear,Negative,1
baby's swimwear,Neutral,1
backpacks,Negative,1
backpacks,Neutral,2
backpacks,Positive,6
backpacks & bags,Negative,5
backpacks & bags,Neutral,2
backpacks & bags,Positive,3
bags and backpacks,Negative,2
bags and backpacks,Neutral,1
bakeware,Negative,3
bakeware,Positive,1
balconette bras,Neutral,3
balconette bras,Positive,5
bali,Negative,7
bali,Neutral,4
bali,Positive,2
ballet flats,Negative,3
ballet flats,Positive,3
bar stools,Negative,1
bar stools,Neutral,1
barware + stemware,Negative,1
basic t-shirts,Negative,1
basic t-shirts,Neutral,1
basketball,Negative,4
basketball,Neutral,2
basketball,Positive,5
bath furniture,Negative,1
bath furniture,Neutral,1
bath furniture,Positive,2
bath rugs & bath mats,Negative,11
bath rugs & bath mats,Neutral,8
bath rugs & bath mats,Positive,15
bath rugs & mats,Negative,8
bath rugs & mats,Neutral,2
bath rugs & mats,Positive,6
bath storage,Neutral,1
bath storage,Positive,2
bath towels,Negative,3
bath towels,Neutral,1
bath towels,Positive,5
bath towels & decor,Negative,10
bath towels & decor,Neutral,1
bath towels & decor,Positive,10
bath towels sizes & care tips,Positive,2
bathroom accessories,Negative,30
bathroom accessories,Neutral,9
bathroom accessories,Positive,33
batman vs. superman,Neutral,1
batman vs. superman,Positive,1
bb & cc creams,Negative,3
bb & cc creams,Neutral,1
bb & cc creams,Positive,4
beach towels,Neutral,1
beach towels,Positive,1
bean bag chairs,Negative,7
bean bag chairs,Neutral,8
bean bag chairs,Positive,9
bed & bath,Negative,88
bed & bath,Neutral,45
bed & bath,Positive,77
bed frames,Negative,2
bed frames,Neutral,2
bed frames,Positive,5
bed head,Negative,1
bed skirts,Negative,9
bed skirts,Neutral,3
